Date,exalus,exbzus,excaus,exchus,exdnus,exhkus,exinus,exjpus,exkous,exmaus,exmxus,exnzus,exnous,exsius,exsfus,exslus,exsdus,exszus,extaus,exthus,exukus,exvzus,exeuus
2-Sep,1.8298 ,3.3548 ,1.5761 ,8.2770 ,7.5752 ,7.7999 ,48.4600 ,121.0800 ,1211.6100 ,3.8000 ,10.0710 ,2.1268 ,7.5018 ,1.7682 ,10.5967 ,96.2070 ,9.3400 ,1.4931 ,34.5730 ,42.8930 ,0.6425 ,1.4600 ,1.0198 
2-Oct,1.8175 ,3.7966 ,1.5780 ,8.2772 ,7.5732 ,7.7995 ,48.3900 ,123.9100 ,1240.1900 ,3.8000 ,10.0940 ,2.0756 ,7.4873 ,1.7843 ,10.3058 ,96.4020 ,9.2846 ,1.4932 ,34.9470 ,43.6410 ,0.6421 ,1.4400 ,1.0192 
2-Nov,1.7816 ,3.5924 ,1.5715 ,8.2772 ,7.4201 ,7.7994 ,48.2900 ,121.6100 ,1210.2000 ,3.8000 ,10.1950 ,2.0109 ,7.3157 ,1.7653 ,9.6509 ,96.4260 ,9.0652 ,1.4658 ,34.6730 ,43.3530 ,0.6365 ,1.3600 ,0.9987 
2-Dec,1.7781 ,3.6268 ,1.5592 ,8.2777 ,7.2874 ,7.7988 ,48.1500 ,121.8900 ,1206.6100 ,3.8000 ,10.2250 ,1.9577 ,7.1557 ,1.7532 ,8.9479 ,96.7050 ,8.9303 ,1.4388 ,34.7990 ,43.3180 ,0.6304 ,1.3300 ,0.9810 
3-Jan,1.7156 ,3.4375 ,1.5414 ,8.2775 ,6.9980 ,7.7994 ,47.9600 ,118.8100 ,1176.4500 ,3.8000 ,10.6220 ,1.8525 ,6.9138 ,1.7363 ,8.6949 ,96.8130 ,8.6368 ,1.3765 ,34.5710 ,42.7730 ,0.6182 ,1.7100 ,0.9414 
3-Feb,1.6790 ,3.5955 ,1.5121 ,8.2780 ,6.8920 ,7.7995 ,47.7500 ,119.3400 ,1190.3700 ,3.8000 ,10.9450 ,1.8054 ,7.0004 ,1.7451 ,8.2858 ,96.8800 ,8.4837 ,1.3602 ,34.7340 ,42.8970 ,0.6219 ,1.6500 ,0.9272 
3-Mar,1.6625 ,3.4567 ,1.4761 ,8.2773 ,6.8807 ,7.7991 ,47.6800 ,118.6900 ,1237.2000 ,3.8000 ,10.9050 ,1.8060 ,7.2760 ,1.7551 ,8.0506 ,96.9430 ,8.5440 ,1.3614 ,34.7220 ,42.7830 ,0.6319 ,1.6000 ,0.9262 
3-Apr,1.6393 ,3.1090 ,1.4582 ,8.2772 ,6.8381 ,7.7996 ,47.3900 ,119.9000 ,1231.1000 ,3.8000 ,10.5890 ,1.8123 ,7.2032 ,1.7771 ,7.6634 ,97.0040 ,8.4314 ,1.3783 ,34.8240 ,42.9290 ,0.6354 ,1.6000 ,0.9206 
3-May,1.5461 ,2.9517 ,1.3840 ,8.2769 ,6.4268 ,7.7991 ,47.1100 ,117.3700 ,1201.2300 ,3.8000 ,10.2530 ,1.7373 ,6.8145 ,1.7357 ,7.6604 ,97.2310 ,7.9213 ,1.3111 ,34.6970 ,42.2170 ,0.6164 ,1.6000 ,0.8654 
3-Jun,1.5033 ,2.8887 ,1.3525 ,8.2771 ,6.3620 ,7.7988 ,46.7000 ,118.3300 ,1194.1400 ,3.8000 ,10.5030 ,1.7197 ,7.0093 ,1.7351 ,7.8588 ,97.2360 ,7.8116 ,1.3196 ,34.6330 ,41.6750 ,0.6021 ,1.6000 ,0.8566 
